isbn,title,pages,year,publisher,LibraryName,author
978-960-7225-17-1,ΦΥΣΙΚΗ Ι - ΜΗΧΑΝΙΚΗ,1060,2008,MQN,NTUA,ΠΑΝΑΓΙΩΤΗΣ Φ. ΜΟΙΡΑΣ
101-1312-7225,ΚΥΜΑΤΑ ΑΠΟ ΤΟΝ ΗΛΕΚΤΡΟΜΑΓΝΗΤΙΣΜΟ ΣΤΗΝ ΚΒΑΝΤΟΜΗΧΑΝΙΚΗ,1130,1990,MQN,NTUA,Χ. Δ ΠΑΠΑΓΕΩΡΓΙΟΥ
9608250218,ΜΗΧΑΝΙΚΗ ΠΑΡΑΜΟΡΦΩΣΙΜΟΥ ΣΤΕΡΕΟΥ ΙI,1494,2003,MQN,NTUA,ΓΙΑΝΝΗΣ ΓΚΑΡΟΥΤΣΟΣ
101-1312-6560,ΕΙΣΑΓΩΓΗ ΣΤΑ ΣΥΣΤΗΜΑΤΑ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ ΗΛΕΚΤΡΟΜΗΧΑΝΙΚΗ ΜΕΤΑΤΡΟΠΗ,836,1995,MQN,NTUA,ΜΙΧΑΛΗΣ Π ΠΑΠΑΔΟΠΟΥΛΟΣ
960-254-531-3,ΜΗΧΑΝΙΚΗ,821,1997,MQN,NTUA,CHARLES KITTEL
960-8250-34-χ,ΤΕΧΝΙΚΗ ΜΗΧΑΝΙΚΗ Ι,1292,1994,MQN,NTUA,ΓΙΑΝΝΗΣ ΓΚΑΡΟΥΤΣΟΣ
101-1312-9552,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ ΛΥΜΕΝΕΣ ΑΣΚΗΣΕΙΣ,625,2005,ΠΕΚ,NTUA,ΑΛΕΞΑΝΔΡΟΣ Χ ΠΑΠΑΪΩΑΝΝΟΥ
978-960-461-325-0,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ ΜΕ ΕΦΑΡΜΟΓΕΣ,939,2011,ΠΕΚ,NTUA,Susanna S. Epp
978960011239,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ,506,2008,ΠΕΚ,NTUA,Ε. ΚΥΡΟΥΣΗΣ
978-960-418-394-4,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ ΚΑΙ ΟΙ ΕΦΑΡΜΟΓΕΣ ΤΟΥΣ,485,2015,ΠΕΚ,NTUA,KENNETH H ROSEN
978-960-418-144-5,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ ΚΑΙ ΕΦΑΡΜΟΓΕΣ ΤΟΥΣ,990,2008,ΠΕΚ,NTUA,KENNETH H ROSEN
978-960-9400-25-1,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ Ι ΤΕΥΧΟΣ Β,1186,2010,ΣΥΜΜΕΤΡΙΑ,NTUA,ΘΕΜΙΣΤΟΚΛΗΣ Μ. ΡΑΣΣΙΑΣ
101-1312-3454,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ (ADVANCED CALCULUS),425,1984,ΣΥΜΜΕΤΡΙΑ,NTUA,LOUIS BRAND
978-960-8250-70-2,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ ΤΕΥΧΟΣ 1,913,1994,ΣΥΜΜΕΤΡΙΑ,NTUA,ΓΙΑΝΝΗΣ ΓΚΑΡΟΥΤΣΟΣ
978-960-9400-06-0,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ ΙΙ ΤΕΥΧΟΣ B,1304,2009,ΣΥΜΜΕΤΡΙΑ,NTUA,ΘΕΜΙΣΤΟΚΛΗΣ Μ. ΡΑΣΣΙΑΣ
978-618-5066-11-6,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ Ι,658,2014,ΣΥΜΜΕΤΡΙΑ,NTUA,ΘΕΜΙΣΤΟΚΛΗΣ Μ. ΡΑΣΣΙΑΣ
960-8250-40-4,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ ΤΕΥΧΟΣ 2,555,1994,ΣΥΜΜΕΤΡΙΑ,NTUA,ΓΙΑΝΝΗΣ ΓΚΑΡΟΥΤΣΟΣ
978-960-7888-82-2,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ ΙΙ ΤΕΥΧΟΣ Α,579,2010,ΣΥΜΜΕΤΡΙΑ,NTUA,ΘΕΜΙΣΤΟΚΛΗΣ Μ. ΡΑΣΣΙΑΣ
978-960-9400-06-0,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ ΙΙ ΤΕΥΧΟΣ Β,1042,2010,ΣΥΜΜΕΤΡΙΑ,NTUA,ΘΕΜΙΣΤΟΚΛΗΣ Μ. ΡΑΣΣΙΑΣ
978-618-5066-11-6,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ ΙΙ,1494,2014,ΣΥΜΜΕΤΡΙΑ,NTUA,ΘΕΜΙΣΤΟΚΛΗΣ Μ. ΡΑΣΣΙΑΣ
960-423-532-Χ,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ Ι ΤΕΥΧΟΣ Α,1007,2004,ΣΥΜΜΕΤΡΙΑ,NTUA,ΘΕΜΙΣΤΟΚΛΗΣ Μ. ΡΑΣΣΙΑΣ
101-1312-4441,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ Ια,395,2009,ΣΥΜΜΕΤΡΙΑ,NTUA,ΠΑΝΑΓΙΩΤΗΣ Χ. ΤΣΕΚΡΕΚΟΣ
9789608250697,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ ΤΕΥΧΟΣ II,786,1994,ΣΥΜΜΕΤΡΙΑ,NTUA,ΓΙΑΝΝΗΣ ΓΚΑΡΟΥΤΣΟΣ
